Buffer Size,Jitter Magnitude,Policy,Base Length for Thresholding,Threshold,Decay,Std Dev Frame Time,Interrupt Frequency (/s),Interrupt Mag (ms/s),QoE_FTSD,QoE_IF,QoE_IM,QoE_Delay
0,0,QM,3,600,1.5,1.6948524101382894,0.01722466420433294,0.02487338293711014,4.5050882650322555,3.6996038327233003,3.999900506468252,4.749683371556856
0,0,QM,3,600,2.0,1.8046375495887783,0.01196301121451628,0.13553180156203964,4.498940297223029,3.699724850742066,3.999457872793752,4.751532909810711
0,0,QM,3,600,3.0,1.8263627844572434,0.012442703273847142,0.15082503528561103,4.497723684070394,3.6997138178247018,3.9993966998588575,4.750339854279019
0,0,QM,3,600,5.0,1.6789968228920324,0.011961134049417345,0.025716416814918017,4.505976177918046,3.6997248939168634,3.9998971343327403,4.751078380141727
0,20,QM,3,600,1.5,1.809303923355487,0.02775836949313911,0.2876744524983552,4.498678980292092,3.699361557501658,3.998849302190007,4.738562909363644
0,20,QM,3,600,2.0,1.954551205818256,0.022495622316276533,0.4099351931411534,4.490545132474177,3.699482600686726,3.9983602592274354,4.73844703732798
0,20,QM,3,600,3.0,1.8452102690775105,0.03445943030174812,0.3514954045485451,4.496668224931659,3.69920743310306,3.998594018381806,4.73924536324434
0,20,QM,3,600,5.0,1.806033409144952,0.023449065262825218,0.28118156576910336,4.4988621290878825,3.699460671498955,3.9988752737369233,4.73897906596521
0,40,QM,3,600,1.5,2.33730317445205,0.05032771133620429,1.4528121480202572,4.469111022230685,3.6988424626392673,3.994188751407919,4.717881037176712
0,40,QM,3,600,2.0,2.452455458052991,0.07433337721888268,1.5498602712915908,4.462662494349033,3.698290332323966,3.9938005589148338,4.7208212412525326
0,40,QM,3,600,3.0,2.698849084494316,0.15916873374997562,1.9557345512429367,4.448864451268317,3.6963391191237505,3.9921770617950285,4.7241025497656794
0,40,QM,3,600,5.0,2.9300614551411575,0.23327030578686683,2.7039788476071576,4.435916558512095,3.694634782966902,3.989184084609571,4.7272822923806554
0,60,QM,3,600,1.5,3.4132533864534067,0.15008856526920833,3.6345631317117593,4.408857810358609,3.6965479629988085,3.9854617474731526,4.702137479111295
0,60,QM,3,600,2.0,4.011499537146852,0.3101265222795426,6.429123124886756,4.375356025919776,3.692867089987571,3.974283507500453,4.70766395131917
0,60,QM,3,600,3.0,5.083921866343418,0.4362226149532784,12.350549877429566,4.315300375484768,3.6899668798560747,3.950597800490282,4.71898332043164
0,60,QM,3,600,5.0,6.053944101971801,0.5174410715305826,18.77545548848319,4.260979130289579,3.6880988553547973,3.9248981780460674,4.7265154820635935
0,80,QM,3,600,1.5,4.711752484141675,0.2888426143980455,7.943444085736022,4.336141860888066,3.693356619868845,3.9682262236570565,4.6869821008859205
0,80,QM,3,600,2.0,6.628559715965004,0.469295145457855,19.599282201993812,4.228800655905959,3.689206211654469,3.9216028711920248,4.701370644369229
0,80,QM,3,600,3.0,8.42523743439871,0.4897104402295352,30.480539846531,4.128186703673672,3.688736659874721,3.8780778406138765,4.716413489324455
0,80,QM,3,600,5.0,9.536853652376259,0.5039576142649758,37.351771941357576,4.0659361954669295,3.688408974871906,3.8505929122345695,4.724269828408132
1,0,E-Policy,3,600,2.0,1.8262222264933567,0.015311783042553437,0.1418968455229392,4.4977315553163715,3.6996478289900216,3.999432412617908,4.748557744930533
1,20,E-Policy,3,600,2.0,1.9810159206842133,0.020102107391927047,0.4471519221288354,4.489063108441684,3.699537651529986,3.998211392311485,4.7366318362210835
1,40,E-Policy,3,600,2.0,2.232211049306161,0.03351624341528689,1.0065716086030123,4.474996181238855,3.6992291264014487,3.9959737135655877,4.711749409373956
1,60,E-Policy,3,600,2.0,2.777866098322466,0.0483854832797623,1.9093162581279879,4.444439498493941,3.698887133884566,3.992362734967488,4.691835862372383
1,80,E-Policy,3,600,2.0,3.2259637563414048,0.03211787591005611,2.3430332798939135,4.41934602964488,3.699261288854069,3.990627866880424,4.668308049246935
